# cmb_I cmb_Q cmb_U pow_I pow_Q pow_U genmbb_I genmbb_Q genmbb_U sync_beta gdust_beta gdust_dbeta gdust_Td1 gdust_Td2 gdust_fI gdust_fQ
5.925290e+01 6.609769e-01 4.738397e-01 3.891284e+01 1.202111e+01 7.998541e+00 5.512105e+02 9.569180e+01 8.028437e+01 -3.327895e+00 1.440516e+00 1.766403e-01 1.685657e+01 2.715126e+01 7.640014e-01 1.127119e+00
5.924296e+01 6.588487e-01 4.747267e-01 3.901718e+01 1.201998e+01 8.012669e+00 5.510483e+02 9.550525e+01 8.008311e+01 -3.324372e+00 1.439450e+00 1.746579e-01 1.683334e+01 2.722845e+01 7.573167e-01 1.128521e+00
5.924296e+01 6.588487e-01 4.747267e-01 3.901718e+01 1.201998e+01 8.012669e+00 5.510483e+02 9.550525e+01 8.008311e+01 -3.324372e+00 1.439450e+00 1.746579e-01 1.683334e+01 2.722845e+01 7.573167e-01 1.128521e+00
5.924296e+01 6.588487e-01 4.747267e-01 3.901718e+01 1.201998e+01 8.012669e+00 5.510483e+02 9.550525e+01 8.008311e+01 -3.324372e+00 1.439450e+00 1.746579e-01 1.683334e+01 2.722845e+01 7.573167e-01 1.128521e+00
5.924296e+01 6.588487e-01 4.747267e-01 3.901718e+01 1.201998e+01 8.012669e+00 5.510483e+02 9.550525e+01 8.008311e+01 -3.324372e+00 1.439450e+00 1.746579e-01 1.683334e+01 2.722845e+01 7.573167e-01 1.128521e+00
5.878418e+01 6.557647e-01 4.785852e-01 3.884710e+01 1.220422e+01 8.154906e+00 5.480742e+02 9.528617e+01 8.022738e+01 -3.305270e+00 1.438149e+00 1.707307e-01 1.684685e+01 2.695464e+01 7.540855e-01 1.127803e+00
5.878418e+01 6.557647e-01 4.785852e-01 3.884710e+01 1.220422e+01 8.154906e+00 5.480742e+02 9.528617e+01 8.022738e+01 -3.305270e+00 1.438149e+00 1.707307e-01 1.684685e+01 2.695464e+01 7.540855e-01 1.127803e+00
5.400086e+01 6.225480e-01 4.918013e-01 3.742813e+01 1.236513e+01 8.954179e+00 5.443493e+02 9.476659e+01 7.745754e+01 -3.247678e+00 1.424807e+00 1.552442e-01 1.684789e+01 2.653768e+01 7.312466e-01 1.135078e+00
4.986757e+01 5.708344e-01 4.988868e-01 3.772624e+01 1.220383e+01 9.905056e+00 5.581342e+02 9.874375e+01 7.211729e+01 -3.190679e+00 1.417321e+00 1.479309e-01 1.706414e+01 2.637458e+01 6.823307e-01 1.160542e+00
5.283811e+01 5.265816e-01 4.840960e-01 4.289939e+01 1.285433e+01 9.941588e+00 5.472950e+02 1.077784e+02 7.143436e+01 -3.218394e+00 1.507179e+00 1.305244e-01 1.883447e+01 2.744453e+01 5.458542e-01 1.249157e+00
5.376144e+01 5.309598e-01 4.842358e-01 4.233207e+01 1.315335e+01 9.754237e+00 5.312326e+02 1.058664e+02 7.072162e+01 -3.161662e+00 1.499335e+00 1.192647e-01 1.827365e+01 2.717349e+01 5.441195e-01 1.234086e+00
4.769095e+01 4.713013e-01 4.999148e-01 4.205126e+01 1.316736e+01 1.110837e+01 5.519116e+02 1.095523e+02 6.858007e+01 -3.133940e+00 1.518975e+00 1.111395e-01 1.927670e+01 2.650327e+01 5.051908e-01 1.269191e+00
4.769095e+01 4.713013e-01 4.999148e-01 4.205126e+01 1.316736e+01 1.110837e+01 5.519116e+02 1.095523e+02 6.858007e+01 -3.133940e+00 1.518975e+00 1.111395e-01 1.927670e+01 2.650327e+01 5.051908e-01 1.269191e+00
4.769095e+01 4.713013e-01 4.999148e-01 4.205126e+01 1.316736e+01 1.110837e+01 5.519116e+02 1.095523e+02 6.858007e+01 -3.133940e+00 1.518975e+00 1.111395e-01 1.927670e+01 2.650327e+01 5.051908e-01 1.269191e+00
5.136373e+01 5.077470e-01 4.885455e-01 4.091413e+01 1.382572e+01 1.027713e+01 5.100907e+02 1.033892e+02 6.779445e+01 -3.049797e+00 1.474860e+00 9.221425e-02 1.776158e+01 2.622816e+01 5.166631e-01 1.231596e+00
5.027284e+01 4.821456e-01 4.825447e-01 4.135812e+01 1.369479e+01 1.063721e+01 5.120665e+02 1.053692e+02 6.511050e+01 -3.076745e+00 1.473959e+00 9.047992e-02 1.794172e+01 2.645433e+01 4.786617e-01 1.253707e+00
5.027284e+01 4.821456e-01 4.825447e-01 4.135812e+01 1.369479e+01 1.063721e+01 5.120665e+02 1.053692e+02 6.511050e+01 -3.076745e+00 1.473959e+00 9.047992e-02 1.794172e+01 2.645433e+01 4.786617e-01 1.253707e+00
4.505053e+01 4.171299e-01 4.640950e-01 4.231726e+01 1.339027e+01 1.196372e+01 5.260696e+02 1.099323e+02 5.874887e+01 -3.185030e+00 1.445482e+00 9.048780e-02 1.883438e+01 2.690774e+01 3.868998e-01 1.327789e+00
4.505053e+01 4.171299e-01 4.640950e-01 4.231726e+01 1.339027e+01 1.196372e+01 5.260696e+02 1.099323e+02 5.874887e+01 -3.185030e+00 1.445482e+00 9.048780e-02 1.883438e+01 2.690774e+01 3.868998e-01 1.327789e+00
4.505053e+01 4.171299e-01 4.640950e-01 4.231726e+01 1.339027e+01 1.196372e+01 5.260696e+02 1.099323e+02 5.874887e+01 -3.185030e+00 1.445482e+00 9.048780e-02 1.883438e+01 2.690774e+01 3.868998e-01 1.327789e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.784486e+01 3.371181e-01 4.610895e-01 4.138582e+01 1.398201e+01 1.378076e+01 5.174522e+02 1.125183e+02 5.044157e+01 -3.116300e+00 1.403765e+00 6.392525e-02 1.906412e+01 2.564089e+01 2.979390e-01 1.374104e+00
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
3.952245e+01 3.623921e-01 4.601340e-01 4.129057e+01 1.398342e+01 1.326960e+01 5.143188e+02 1.113458e+02 5.369361e+01 -3.116919e+00 1.415568e+00 6.932575e-02 1.905841e+01 2.592813e+01 3.330404e-01 1.364897e+00
